rmse,mae,r2,n,nrmse,circuit,target,model,pooled_r2
10896.705155259478,4085.003855322985,0.9819747125915911,3718,0.031133443300741366,Australian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7060.182875745934,3787.42428749175,0.9902367595790489,3599,0.02017195107355981,Austrian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7633.629554322119,4636.138005664793,0.9697121367206754,5633,0.021810370155206052,Azerbaijan Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
6072.058848775209,3383.1887239049443,0.9797196445017526,3827,0.01734873956792917,Bahrain Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
9542.485340784538,4242.495947690442,0.9900351412998644,5858,0.027264243830812968,Belgian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
9125.563133779873,3174.667437802956,0.9855851268565925,5075,0.02607303752508535,British Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
5844.461194272521,3629.4667091892716,0.993485119706877,2797,0.016698460555064347,Canadian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
8080.6394349168395,4857.064859032357,0.9788979024177773,4525,0.023087541242619542,Chinese Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
5096.141066434596,2936.0620697991553,0.9890939917464128,4559,0.014560403046955987,Dutch Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7649.93960359665,3500.7272248673357,0.9885853218903957,5098,0.02185697029599043,Emilia Romagna Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
4257.408080774298,2557.2343978252993,0.9833133964083561,5240,0.012164023087926565,Hungarian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7589.403333624232,3716.5383872164475,0.9929367527396428,2795,0.02168400952464066,Italian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
6126.031973949334,3515.6116012335915,0.9909491041196417,6215,0.0175029484969981,Japanese Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
8732.156093422405,5131.615411323955,0.9889796289853166,4099,0.024949017409778302,Las Vegas Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
8703.949720536535,5369.3212134496025,0.9573750364423079,3007,0.02486842777296153,Mexico City Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
9878.648158653083,5412.534153150874,0.9843390684239508,5059,0.028224709024723092,Miami Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
9027.78035799892,5464.646250981984,0.9607531278065022,4755,0.0257936581657112,Monaco Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
4713.98108779742,2813.8123596078067,0.9911562788440281,5999,0.013468517393706914,Qatar Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7336.512001109166,4350.757227904586,0.9927168862534147,7520,0.0209614628603119,Saudi Arabian Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
7126.24775404484,3796.162161162236,0.9795731198983555,5328,0.02036070786869954,Singapore Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
4245.367247535313,2626.2952380303445,0.9943297973344437,4120,0.012129620707243752,Spanish Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
6550.5782085113115,3543.8094900608703,0.9855213611569953,3568,0.018715937738603746,São Paulo Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
5805.558126968036,3444.788903364793,0.9841591827220465,6575,0.016587308934194387,United States Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
13.529785015093367,7.391580592537038,0.8501305260295221,5250,,Abu Dhabi Grand Prix,d_coast_optimal,xgb,0.6970557036662698
33.970510548948276,14.743382105527228,0.6898357464933849,3719,,Australian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
13.475200674333548,6.213734750588166,0.7918762773645004,3599,,Austrian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
24.224383891556318,11.41730710602531,0.6671541018352349,5633,,Azerbaijan Grand Prix,d_coast_optimal,xgb,0.6970557036662698
19.48279303680662,12.387118817176727,0.7529094361615107,3828,,Bahrain Grand Prix,d_coast_optimal,xgb,0.6970557036662698
38.42997937705802,15.970772520211884,0.6368495952567236,5858,,Belgian Grand Prix,d_coast_optimal,xgb,0.6970557036662698
10.101193061955533,6.111072167512174,0.8484203683929312,5075,,British Grand Prix,d_coast_optimal,xgb,0.6970557036662698
